Tubss,Lon,Lat,Month,Model,Tmax,Tmin
CP1,-122.9,38.4,Jan,Mean,15.79999971,5.5625
CP2,-122.5,38.6,Jan,Mean,14.58750021,5.600000083
CP3,-122.9,38.4,Jan,Mean,15.79999971,5.5625
CP4,-122.5,38.7,Jan,Mean,15,4.962500036
CP5,-122.720306,38.44466,Jan,Mean,17.00000024,6.100000024
CP1,-122.9,38.4,Feb,Mean,18.2874999,6.850000024
CP2,-122.5,38.6,Feb,Mean,15.73749995,5.900000036
CP3,-122.9,38.4,Feb,Mean,18.2874999,6.850000024
CP4,-122.5,38.7,Feb,Mean,16.75,5.787500024
CP5,-122.720306,38.44466,Feb,Mean,19.72500014,7.674999893
CP1,-122.9,38.4,Mar,Mean,19.4749999,7.424999952
CP2,-122.5,38.6,Mar,Mean,17.26250005,6.074999988
CP3,-122.9,38.4,Mar,Mean,19.4749999,7.424999952
CP4,-122.5,38.7,Mar,Mean,18.7249999,6.549999952
CP5,-122.720306,38.44466,Mar,Mean,20.9749999,8.237499952
CP1,-122.9,38.4,Apr,Mean,22.01250029,7.800000072
CP2,-122.5,38.6,Apr,Mean,20.63749981,7
CP3,-122.9,38.4,Apr,Mean,22.01250029,7.800000072
CP4,-122.5,38.7,Apr,Mean,22.2125001,7.612500072
CP5,-122.720306,38.44466,Apr,Mean,23.82499981,8.737500072
CP1,-122.9,38.4,May,Mean,24.9375,9.675000191
CP2,-122.5,38.6,May,Mean,25.17500019,9.875
CP3,-122.9,38.4,May,Mean,24.9375,9.675000191
CP4,-122.5,38.7,May,Mean,26.86249971,10.67500007
CP5,-122.720306,38.44466,May,Mean,27.36249971,11.01249993
CP1,-122.9,38.4,June,Mean,27.85000014,11.57499981
CP2,-122.5,38.6,June,Mean,29.5,12.85000014
CP3,-122.9,38.4,June,Mean,27.85000014,11.57499981
CP4,-122.5,38.7,June,Mean,31.39999962,13.64999998
CP5,-122.720306,38.44466,June,Mean,30.8125,13.40000021
CP1,-122.9,38.4,July,Mean,29.84999967,12.60000002
CP2,-122.5,38.6,July,Mean,33.23750067,15.46249974
CP3,-122.9,38.4,July,Mean,29.84999967,12.60000002
CP4,-122.5,38.7,July,Mean,35.22500038,16.11250007
CP5,-122.720306,38.44466,July,Mean,32.76250076,14.3375001
CP1,-122.9,38.4,August,Mean,29.88750029,13.13749993
CP2,-122.5,38.6,August,Mean,33.27499914,15.54999983
CP3,-122.9,38.4,August,Mean,29.88750029,13.13749993
CP4,-122.5,38.7,August,Mean,35.0875001,15.87500012
CP5,-122.720306,38.44466,August,Mean,32.45000029,14.61249983
CP1,-122.9,38.4,September,Mean,30.11249971,12.82500005
CP2,-122.5,38.6,September,Mean,31.67499995,14.79999995
CP3,-122.9,38.4,September,Mean,30.11249971,12.82500005
CP4,-122.5,38.7,September,Mean,33.16250038,14.74999988
CP5,-122.720306,38.44466,September,Mean,32.4124999,14.26249993
CP1,-122.9,38.4,October,Mean,27.48749971,10.60000002
CP2,-122.5,38.6,October,Mean,27.09999967,11.98749995
CP3,-122.9,38.4,October,Mean,27.48749971,10.60000002
CP4,-122.5,38.7,October,Mean,28.14999986,11.4749999
CP5,-122.720306,38.44466,October,Mean,29.1875,11.50000012
CP1,-122.9,38.4,November,Mean,20.97500038,7.612500072
CP2,-122.5,38.6,November,Mean,19.01250029,7.675000012
CP3,-122.9,38.4,November,Mean,20.97500038,7.612500072
CP4,-122.5,38.7,November,Mean,19.74999976,7.149999976
CP5,-122.720306,38.44466,November,Mean,21.87500024,8.025000036
CP1,-122.9,38.4,December,Mean,16.42499995,5.362500072
CP2,-122.5,38.6,December,Mean,14.89999998,5.324999928
CP3,-122.9,38.4,December,Mean,16.42499995,5.362500072
CP4,-122.5,38.7,December,Mean,15.25000024,4.62500006
CP5,-122.720306,38.44466,December,Mean,17.45000005,5.649999976
